task	mode	budget	status	commands	steps	stream_len	assistant_len	sections	control	verification	runtime_line	intelligence	flow
deterministic-tests	report	standard	error	3	52	2812	404	1	1	1	1	61	85
concurrency-race	assistant	standard	error	6	49	2822	345	1	1	1	1	67	85
api-hardening	programming	standard	error	3	45	2924	384	1	1	1	1	61	85
migration-safe	assistant	standard	error	5	46	2811	384	1	1	1	1	61	85
perf-regression	report	standard	error	3	68	2754	401	1	1	1	1	61	85
security-audit	security-audit	standard	error	4	39	2755	384	1	1	1	1	61	85
refactor-boundaries	assistant	standard	error	2	57	2799	374	1	1	1	1	61	85
failure-recovery	programming	standard	error	4	52	2924	404	1	1	1	1	61	85
spec-to-code	assistant	standard	error	5	46	3391	403	1	1	1	1	61	85
report-trace	report	standard	error	4	42	2766	427	1	1	1	1	61	85
teacher-explain	teacher	standard	error	6	42	2407	404	1	1	1	1	67	85
pentest-simulation	pentest	standard	error	5	48	2766	426	1	1	1	1	61	85
